INV_NUMBER;LINE_NUMBER;P_CODE;LINE_UNITS;LINE_PRICE
1001;1;13-Q2/P2;1.00;14.99
1001;2;23109-HB;1.00;9.95
1002;1;54778-2T;2.00;4.99
1003;1;2238/QPD;1.00;38.95
1003;2;1546-QQ2;1.00;39.95
1003;3;13-Q2/P2;5.00;14.99
1004;1;54778-2T;3.00;4.99
1004;2;23109-HB;2.00;9.95
1005;1;PVC23DRT;12.00;5.87
1006;1;SM-18277;3.00;6.99
1006;2;2232/QTY;1.00;109.92
1006;3;23109-HB;1.00;9.95
1006;4;89-WRE-Q;1.00;256.99
1007;1;13-Q2/P2;2.00;14.99
1007;2;54778-2T;1.00;4.99
1008;1;PVC23DRT;5.00;5.87
1008;2;WR3/TT3;3.00;119.95
1008;3;23109-HB;1.00;9.95
